Vivado Simulator 2018.2
Time resolution is 1 ps
Time=0: rst_n=1, valid_in=x, valid_out=x, matrix_c_out='{32'bxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,32'bxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,32'bxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx}
Time=100000: rst_n=0, valid_in=0, valid_out=0, matrix_c_out='{0,0,0}
Time=200000: rst_n=1, valid_in=0, valid_out=0, matrix_c_out='{0,0,0}
Time=300000: rst_n=1, valid_in=1, valid_out=0, matrix_c_out='{0,0,0}
Time=350000: rst_n=1, valid_in=1, valid_out=0, matrix_c_out='{0,0,24}
Time=450000: rst_n=1, valid_in=1, valid_out=0, matrix_c_out='{0,27,69}
Time=550000: rst_n=1, valid_in=1, valid_out=0, matrix_c_out='{21,162,71}
Time=600000: rst_n=1, valid_in=0, valid_out=0, matrix_c_out='{21,162,71}
Time=650000: rst_n=1, valid_in=0, valid_out=0, matrix_c_out='{39,184,71}
Time=750000: rst_n=1, valid_in=0, valid_out=1, matrix_c_out='{65,184,71}
Time=850000: rst_n=1, valid_in=0, valid_out=1, matrix_c_out='{108,161,40}
Time=950000: rst_n=1, valid_in=0, valid_out=1, matrix_c_out='{380,555,184}
